Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SnakeBrain,1.766,29.985,21.027,4809,-0.961
SnakeBrain,0.593,50.052,15.275,4837,-0.945
SnakeBrain,0.652,70.789,15.619,4809,-0.938
SnakeBrain,0.571,91.465,15.776,4830,-0.933
SnakeBrain,0.581,111.178,14.917,4809,-0.930
SnakeBrain,0.596,130.774,14.762,4815,-0.927
SnakeBrain,0.555,150.717,15.036,4810,-0.924
SnakeBrain,0.581,170.584,15.099,4806,-0.923
SnakeBrain,0.569,189.869,14.627,4851,-0.921
SnakeBrain,0.638,209.720,15.007,4807,-0.918
SnakeBrain,0.613,228.683,14.370,4832,-0.914
SnakeBrain,0.570,247.224,13.886,4836,-0.909
SnakeBrain,0.703,266.556,14.529,4844,-0.907
SnakeBrain,0.580,286.130,14.782,4829,-0.903
SnakeBrain,0.569,305.001,14.190,4819,-0.898
SnakeBrain,0.644,324.914,14.999,4829,-0.893
SnakeBrain,0.640,344.525,14.807,4825,-0.889
SnakeBrain,0.580,363.728,14.462,4832,-0.883
SnakeBrain,0.576,382.982,14.716,4861,-0.878
SnakeBrain,0.668,402.761,14.792,4889,-0.873
SnakeBrain,0.599,422.391,14.365,4842,-0.869
SnakeBrain,0.585,441.658,14.461,4905,-0.865
SnakeBrain,0.591,461.544,14.983,4877,-0.861
SnakeBrain,0.592,481.623,15.325,4842,-0.857
SnakeBrain,0.597,501.022,14.673,4813,-0.853
SnakeBrain,0.606,520.524,14.787,4889,-0.849
SnakeBrain,0.626,540.452,15.179,4902,-0.845
SnakeBrain,0.613,559.345,14.433,4848,-0.841
SnakeBrain,0.586,578.920,14.846,4850,-0.837
SnakeBrain,0.737,598.546,14.796,4855,-0.832
SnakeBrain,0.614,617.928,14.817,4871,-0.829
SnakeBrain,0.575,637.166,14.603,4902,-0.825
SnakeBrain,0.584,656.537,14.632,4891,-0.821
SnakeBrain,0.588,675.963,14.644,4827,-0.818
SnakeBrain,0.571,695.193,14.481,4873,-0.814
SnakeBrain,0.596,714.120,14.273,4899,-0.811
SnakeBrain,0.587,733.758,14.778,4857,-0.807
SnakeBrain,0.568,752.767,14.342,4851,-0.804
SnakeBrain,0.619,771.886,14.511,4812,-0.802
SnakeBrain,0.581,790.609,14.345,4864,-0.799
SnakeBrain,0.569,810.687,14.909,4855,-0.797
SnakeBrain,0.504,829.928,14.660,4856,-0.793
SnakeBrain,0.512,847.255,13.289,4830,-0.790
SnakeBrain,0.565,867.571,16.011,4862,-0.786
SnakeBrain,0.519,885.266,13.564,4930,-0.783
SnakeBrain,0.503,902.410,13.053,4857,-0.780
SnakeBrain,0.531,920.307,13.603,4853,-0.777
SnakeBrain,0.529,938.646,14.048,4839,-0.775
SnakeBrain,0.519,956.817,13.838,4889,-0.772
SnakeBrain,0.515,974.860,13.728,4878,-0.769
SnakeBrain,0.631,992.731,13.510,4845,-0.767
SnakeBrain,0.569,1010.829,13.811,4859,-0.765
SnakeBrain,0.561,1028.266,13.309,4861,-0.762
SnakeBrain,0.511,1044.942,12.605,4864,-0.759
SnakeBrain,0.531,1062.203,13.016,4858,-0.756
SnakeBrain,0.506,1079.629,13.182,4827,-0.754
SnakeBrain,0.508,1097.217,13.530,4801,-0.752
SnakeBrain,0.524,1115.072,13.573,4847,-0.750
SnakeBrain,0.555,1133.267,13.955,4857,-0.747
SnakeBrain,0.520,1150.638,13.153,4857,-0.745
SnakeBrain,0.517,1167.498,12.846,4868,-0.742
SnakeBrain,0.516,1184.391,12.819,4869,-0.739
SnakeBrain,0.523,1202.283,13.743,4908,-0.737
SnakeBrain,0.521,1220.166,13.752,4865,-0.735
SnakeBrain,0.529,1236.741,12.784,4868,-0.732
SnakeBrain,0.566,1254.302,13.577,4867,-0.729
SnakeBrain,0.512,1271.272,13.094,4869,-0.726
SnakeBrain,0.564,1288.293,12.947,4870,-0.723
SnakeBrain,0.509,1305.218,12.894,4863,-0.721
SnakeBrain,0.566,1322.904,13.394,4864,-0.718
SnakeBrain,0.596,1341.740,14.525,4899,-0.717
SnakeBrain,0.579,1360.197,14.035,4867,-0.715
SnakeBrain,0.583,1379.253,14.417,4865,-0.713
SnakeBrain,0.620,1398.819,14.860,4855,-0.711
SnakeBrain,0.650,1417.557,14.223,4868,-0.709
SnakeBrain,0.600,1436.311,14.386,4864,-0.706
SnakeBrain,0.620,1455.807,14.712,4867,-0.704
SnakeBrain,0.584,1473.925,13.966,4870,-0.702
SnakeBrain,0.591,1492.971,14.423,4906,-0.700
SnakeBrain,0.597,1511.638,14.345,4866,-0.698
SnakeBrain,0.586,1531.230,14.889,4803,-0.695
SnakeBrain,0.649,1550.670,14.601,4912,-0.694
SnakeBrain,0.588,1569.659,14.429,4850,-0.692
SnakeBrain,0.590,1589.412,15.205,4884,-0.690
SnakeBrain,0.711,1608.331,14.379,4858,-0.689
SnakeBrain,0.589,1626.876,14.135,4823,-0.687
SnakeBrain,0.732,1645.984,14.463,4922,-0.685
SnakeBrain,0.588,1665.075,14.504,4894,-0.682
SnakeBrain,0.590,1682.927,13.546,4802,-0.681
SnakeBrain,0.593,1702.490,14.806,4928,-0.679
SnakeBrain,0.595,1721.156,14.295,4870,-0.676
SnakeBrain,0.615,1739.257,13.846,4868,-0.674
SnakeBrain,0.596,1757.514,13.920,4870,-0.672
SnakeBrain,0.728,1776.091,14.294,4868,-0.670
SnakeBrain,0.589,1795.357,14.639,4908,-0.669
SnakeBrain,0.582,1814.121,14.189,4868,-0.667
SnakeBrain,0.611,1833.182,14.629,4904,-0.665
SnakeBrain,0.695,1855.710,17.250,4826,-0.663
SnakeBrain,0.598,1875.164,15.071,4866,-0.661
SnakeBrain,0.765,1896.222,16.185,4866,-0.659
SnakeBrain,0.544,1915.494,14.986,4870,-0.657
SnakeBrain,0.611,1934.512,14.697,4867,-0.655
SnakeBrain,0.644,1953.388,14.024,4856,-0.654
SnakeBrain,0.542,1972.082,14.183,4914,-0.652
SnakeBrain,0.474,1989.301,13.227,4862,-0.651
SnakeBrain,0.555,2005.965,12.682,4870,-0.649
SnakeBrain,0.598,2023.832,13.442,4865,-0.647
