Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SnakeBrain,0.851,25.425,16.866,4810,-0.869
SnakeBrain,0.596,44.580,14.620,4855,-0.883
SnakeBrain,0.490,63.359,14.137,4837,-0.870
SnakeBrain,0.494,81.845,13.917,4813,-0.869
SnakeBrain,0.506,100.200,13.779,4819,-0.881
SnakeBrain,0.496,118.566,13.990,4837,-0.879
SnakeBrain,0.488,136.902,13.733,4808,-0.877
SnakeBrain,0.488,154.772,13.485,4858,-0.879
SnakeBrain,0.701,172.897,13.425,4843,-0.869
SnakeBrain,0.494,191.532,14.165,4842,-0.863
SnakeBrain,0.471,209.451,13.640,4803,-0.860
SnakeBrain,0.493,226.968,13.294,4853,-0.851
SnakeBrain,0.621,245.150,13.603,4840,-0.840
SnakeBrain,0.491,262.972,13.284,4838,-0.827
SnakeBrain,0.492,280.880,13.515,4838,-0.811
SnakeBrain,0.505,299.174,13.825,4818,-0.781
SnakeBrain,0.505,317.940,14.394,4815,-0.755
SnakeBrain,0.503,336.623,14.284,4875,-0.720
SnakeBrain,0.535,355.118,14.097,4805,-0.677
SnakeBrain,0.612,374.377,14.666,4845,-0.637
SnakeBrain,0.473,394.487,15.421,4816,-0.589
SnakeBrain,0.517,413.579,14.610,4886,-0.538
SnakeBrain,0.491,432.956,14.754,4846,-0.496
SnakeBrain,0.506,452.975,15.504,4824,-0.439
SnakeBrain,0.493,471.964,14.530,4847,-0.391
SnakeBrain,0.483,491.538,15.075,4838,-0.335
SnakeBrain,0.539,512.244,16.062,4833,-0.296
SnakeBrain,0.509,531.765,15.050,4806,-0.250
SnakeBrain,0.514,551.460,15.122,4914,-0.212
SnakeBrain,0.618,571.983,15.897,4836,-0.169
SnakeBrain,0.516,592.495,15.897,4858,-0.132
SnakeBrain,0.500,611.946,15.024,4849,-0.097
SnakeBrain,0.496,631.247,14.891,4818,-0.056
SnakeBrain,0.490,651.312,15.636,4816,-0.022
SnakeBrain,0.503,670.868,15.113,4833,0.001
SnakeBrain,1.274,693.265,17.131,4819,0.027
SnakeBrain,0.482,714.181,16.284,4830,0.050
SnakeBrain,0.507,733.473,14.887,4817,0.074
SnakeBrain,0.520,753.030,15.225,4812,0.101
SnakeBrain,0.497,773.609,16.038,4847,0.124
SnakeBrain,0.504,793.391,15.021,4864,0.152
SnakeBrain,0.496,812.952,15.127,4838,0.180
SnakeBrain,0.635,832.299,14.884,4915,0.205
SnakeBrain,0.573,852.715,15.860,4859,0.232
SnakeBrain,0.539,872.319,15.177,4851,0.259
SnakeBrain,0.480,891.523,14.788,4850,0.282
SnakeBrain,0.482,911.422,15.556,4805,0.303
SnakeBrain,0.492,931.444,15.492,4817,0.320
SnakeBrain,0.501,950.848,15.113,4872,0.347
SnakeBrain,0.493,971.041,15.841,4823,0.364
SnakeBrain,0.484,990.565,15.253,4814,0.387
SnakeBrain,0.489,1010.226,15.367,4861,0.407
SnakeBrain,0.672,1030.625,15.635,4891,0.429
SnakeBrain,0.477,1050.328,15.282,4860,0.448
SnakeBrain,0.505,1069.483,14.828,4892,0.465
SnakeBrain,1.250,1091.263,16.371,4838,0.484
SnakeBrain,0.630,1113.317,17.170,4835,0.502
SnakeBrain,0.586,1135.718,17.328,4830,0.522
SnakeBrain,0.929,1160.003,18.536,4852,0.545
SnakeBrain,0.497,1180.061,15.581,4821,0.567
SnakeBrain,0.498,1199.778,14.980,4839,0.587
SnakeBrain,0.491,1218.541,14.503,4861,0.607
SnakeBrain,0.493,1238.134,15.253,4830,0.626
SnakeBrain,0.504,1257.420,14.931,4877,0.643
SnakeBrain,0.495,1276.416,14.710,4836,0.665
SnakeBrain,0.497,1297.514,16.491,4831,0.684
SnakeBrain,0.518,1316.694,14.819,4848,0.700
SnakeBrain,0.491,1335.674,14.510,4831,0.722
SnakeBrain,0.634,1354.749,14.591,4801,0.744
SnakeBrain,0.496,1375.296,15.950,4866,0.760
SnakeBrain,0.510,1394.704,15.137,4831,0.778
SnakeBrain,0.516,1414.473,15.350,4919,0.796
SnakeBrain,0.521,1434.732,15.885,4816,0.814
SnakeBrain,0.597,1454.165,14.974,4854,0.828
SnakeBrain,0.532,1473.900,15.124,4811,0.843
SnakeBrain,0.502,1494.153,15.825,4815,0.860
SnakeBrain,0.516,1513.891,15.293,4921,0.881
SnakeBrain,0.487,1533.250,15.131,4829,0.896
SnakeBrain,0.635,1553.719,15.895,4850,0.912
SnakeBrain,0.523,1573.860,15.590,4818,0.926
SnakeBrain,0.495,1593.989,15.781,4815,0.942
SnakeBrain,0.495,1613.542,14.892,4804,0.956
SnakeBrain,0.532,1633.997,15.932,4830,0.972
SnakeBrain,0.479,1653.990,15.519,4828,0.983
SnakeBrain,0.490,1673.009,14.687,4816,1.001
SnakeBrain,0.515,1693.537,16.166,4860,1.017
SnakeBrain,0.505,1712.949,15.036,4904,1.028
SnakeBrain,0.496,1732.123,14.767,4830,1.045
SnakeBrain,0.702,1751.563,14.982,4857,1.060
SnakeBrain,0.569,1772.171,16.046,4828,1.070
SnakeBrain,0.490,1791.498,15.033,4885,1.084
SnakeBrain,0.488,1810.664,14.919,4805,1.095
SnakeBrain,0.484,1830.468,15.325,4804,1.109
SnakeBrain,0.486,1849.273,14.622,4802,1.125
SnakeBrain,0.478,1868.308,14.715,4803,1.139
SnakeBrain,0.499,1888.318,15.641,4801,1.153
SnakeBrain,0.503,1908.054,15.374,4919,1.172
SnakeBrain,0.516,1928.061,15.646,4870,1.183
SnakeBrain,0.609,1947.694,15.154,4921,1.197
SnakeBrain,0.614,1967.631,15.420,4870,1.211
SnakeBrain,0.492,1987.314,15.233,4895,1.223
SnakeBrain,0.494,2006.914,14.994,4815,1.237
SnakeBrain,0.482,2027.353,15.964,4840,1.248
SnakeBrain,0.486,2046.896,15.150,4836,1.262
SnakeBrain,0.580,2066.485,15.228,4844,1.276
SnakeBrain,0.491,2086.887,15.964,4815,1.290
SnakeBrain,0.485,2106.253,15.120,4846,1.301
SnakeBrain,0.493,2125.491,14.864,4808,1.310
